3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  2
3  sending request vote to the follower  1
3  sending request vote to the follower  0
2023-08-21 06:48:10.933069756 +0000 UTC m=+21.573290387 ,  2023-08-21 06:48:10.992452611 +0000 UTC m=+21.632673252 ,  59382604
2023-08-21 06:48:11.022071461 +0000 UTC m=+21.662292062 ,  2023-08-21 06:48:11.086889648 +0000 UTC m=+21.727110279 ,  64818036
2023-08-21 06:48:11.381497324 +0000 UTC m=+22.021717925 ,  2023-08-21 06:48:11.446754469 +0000 UTC m=+22.086975090 ,  65257035
2023-08-21 06:48:11.475978436 +0000 UTC m=+22.116199037 ,  2023-08-21 06:48:11.540724146 +0000 UTC m=+22.180944767 ,  64745590
2023-08-21 06:48:11.835434336 +0000 UTC m=+22.475654967 ,  2023-08-21 06:48:11.892426336 +0000 UTC m=+22.532646957 ,  56991859
2023-08-21 06:48:11.921489008 +0000 UTC m=+22.561709609 ,  2023-08-21 06:48:11.98592741 +0000 UTC m=+22.626148041 ,  64438302
2023-08-21 06:48:12.280536659 +0000 UTC m=+22.920757260 ,  2023-08-21 06:48:12.345852103 +0000 UTC m=+22.986072724 ,  65315334
2023-08-21 06:48:12.374884959 +0000 UTC m=+23.015105560 ,  2023-08-21 06:48:12.440377126 +0000 UTC m=+23.080597757 ,  65492056
2023-08-21 06:48:12.73552939 +0000 UTC m=+23.375749991 ,  2023-08-21 06:48:12.800053221 +0000 UTC m=+23.440273842 ,  64523711
2023-08-21 06:48:12.829116606 +0000 UTC m=+23.469337207 ,  2023-08-21 06:48:12.89351987 +0000 UTC m=+23.533740481 ,  64403204
2023-08-21 06:48:13.188045703 +0000 UTC m=+23.828266304 ,  2023-08-21 06:48:13.253387215 +0000 UTC m=+23.893607827 ,  65341432
2023-08-21 06:48:13.282470297 +0000 UTC m=+23.922690898 ,  2023-08-21 06:48:13.347278774 +0000 UTC m=+23.987499395 ,  64808367
2023-08-21 06:48:13.642706566 +0000 UTC m=+24.282927207 ,  2023-08-21 06:48:13.708025155 +0000 UTC m=+24.348245786 ,  65318429
2023-08-21 06:48:13.737136459 +0000 UTC m=+24.377357061 ,  2023-08-21 06:48:13.801805935 +0000 UTC m=+24.442026567 ,  64669355
2023-08-21 06:48:14.096778299 +0000 UTC m=+24.736998930 ,  2023-08-21 06:48:14.162277438 +0000 UTC m=+24.802498059 ,  65498999
2023-08-21 06:48:14.191613195 +0000 UTC m=+24.831833797 ,  2023-08-21 06:48:14.25509293 +0000 UTC m=+24.895313541 ,  63479673
2023-08-21 06:48:14.549965395 +0000 UTC m=+25.190185996 ,  2023-08-21 06:48:14.615530559 +0000 UTC m=+25.255751190 ,  65565044
2023-08-21 06:48:14.644712345 +0000 UTC m=+25.284932976 ,  2023-08-21 06:48:14.70821919 +0000 UTC m=+25.348439821 ,  63506715
2023-08-21 06:48:15.003208115 +0000 UTC m=+25.643428726 ,  2023-08-21 06:48:15.063485776 +0000 UTC m=+25.703706407 ,  60277550
2023-08-21 06:48:15.092812505 +0000 UTC m=+25.733033136 ,  2023-08-21 06:48:15.15006741 +0000 UTC m=+25.790288041 ,  57254765
2023-08-21 06:48:15.445040325 +0000 UTC m=+26.085260966 ,  2023-08-21 06:48:15.500193159 +0000 UTC m=+26.140413790 ,  55152693
2023-08-21 06:48:15.529338417 +0000 UTC m=+26.169559028 ,  2023-08-21 06:48:15.594652999 +0000 UTC m=+26.234873620 ,  65314462
2023-08-21 06:48:15.889605145 +0000 UTC m=+26.529825776 ,  2023-08-21 06:48:15.955210554 +0000 UTC m=+26.595431185 ,  65605269
2023-08-21 06:48:15.984515133 +0000 UTC m=+26.624735734 ,  2023-08-21 06:48:16.049201691 +0000 UTC m=+26.689422312 ,  64686448
2023-08-21 06:48:16.344060411 +0000 UTC m=+26.984281012 ,  2023-08-21 06:48:16.409600227 +0000 UTC m=+27.049820858 ,  65539676
2023-08-21 06:48:16.438722772 +0000 UTC m=+27.078943373 ,  2023-08-21 06:48:16.504872778 +0000 UTC m=+27.145093409 ,  66149815
2023-08-21 06:48:16.800008839 +0000 UTC m=+27.440229470 ,  2023-08-21 06:48:16.864758096 +0000 UTC m=+27.504978727 ,  64749087
2023-08-21 06:48:16.894061913 +0000 UTC m=+27.534282534 ,  2023-08-21 06:48:16.957587133 +0000 UTC m=+27.597807754 ,  63525090
2023-08-21 06:48:17.25274725 +0000 UTC m=+27.892967851 ,  2023-08-21 06:48:17.316425698 +0000 UTC m=+27.956646330 ,  63678328
2023-08-21 06:48:17.345825846 +0000 UTC m=+27.986046477 ,  2023-08-21 06:48:17.409500348 +0000 UTC m=+28.049720969 ,  63674362
2023-08-21 06:48:17.704437746 +0000 UTC m=+28.344658347 ,  2023-08-21 06:48:17.769842578 +0000 UTC m=+28.410063179 ,  65404772
2023-08-21 06:48:17.798913065 +0000 UTC m=+28.439133666 ,  2023-08-21 06:48:17.863715121 +0000 UTC m=+28.503935752 ,  64801945
2023-08-21 06:48:18.158687904 +0000 UTC m=+28.798908535 ,  2023-08-21 06:48:18.216141283 +0000 UTC m=+28.856361915 ,  57453239
2023-08-21 06:48:18.245237329 +0000 UTC m=+28.885457950 ,  2023-08-21 06:48:18.308709108 +0000 UTC m=+28.948929719 ,  63471699
2023-08-21 06:48:18.603364564 +0000 UTC m=+29.243585195 ,  2023-08-21 06:48:18.659532691 +0000 UTC m=+29.299753323 ,  56167987
2023-08-21 06:48:18.688674613 +0000 UTC m=+29.328895214 ,  2023-08-21 06:48:18.753218623 +0000 UTC m=+29.393439254 ,  64543910
