3  listening on:  130.127.134.101:3001
3  sending request vote to the follower  4
3  sending request vote to the follower  0
3  sending request vote to the follower  1
3  sending request vote to the follower  2
2023-08-21 06:15:36.10560744 +0000 UTC m=+19.093018201 ,  2023-08-21 06:15:36.171393904 +0000 UTC m=+19.158804665 ,  65786323
2023-08-21 06:15:36.200778815 +0000 UTC m=+19.188189557 ,  2023-08-21 06:15:36.264397475 +0000 UTC m=+19.251808246 ,  63618519
2023-08-21 06:15:36.559533186 +0000 UTC m=+19.546943927 ,  2023-08-21 06:15:36.624194379 +0000 UTC m=+19.611605150 ,  64661073
2023-08-21 06:15:36.653322798 +0000 UTC m=+19.640733539 ,  2023-08-21 06:15:36.717870056 +0000 UTC m=+19.705280817 ,  64547158
2023-08-21 06:15:37.012075214 +0000 UTC m=+19.999485995 ,  2023-08-21 06:15:37.067466012 +0000 UTC m=+20.054876783 ,  55390648
2023-08-21 06:15:37.096705169 +0000 UTC m=+20.084115910 ,  2023-08-21 06:15:37.161353969 +0000 UTC m=+20.148764740 ,  64648680
2023-08-21 06:15:37.45594276 +0000 UTC m=+20.443353541 ,  2023-08-21 06:15:37.511829142 +0000 UTC m=+20.499239913 ,  55886232
2023-08-21 06:15:37.540843716 +0000 UTC m=+20.528254457 ,  2023-08-21 06:15:37.605482807 +0000 UTC m=+20.592893579 ,  64638991
2023-08-21 06:15:37.900041602 +0000 UTC m=+20.887452363 ,  2023-08-21 06:15:37.958525537 +0000 UTC m=+20.945936308 ,  58483704
2023-08-21 06:15:37.987711393 +0000 UTC m=+20.975122155 ,  2023-08-21 06:15:38.049023166 +0000 UTC m=+21.036433947 ,  61311622
2023-08-21 06:15:38.343623018 +0000 UTC m=+21.331033789 ,  2023-08-21 06:15:38.409174559 +0000 UTC m=+21.396585330 ,  65551411
2023-08-21 06:15:38.43832584 +0000 UTC m=+21.425736581 ,  2023-08-21 06:15:38.5040254 +0000 UTC m=+21.491436171 ,  65699450
2023-08-21 06:15:38.798431246 +0000 UTC m=+21.785842017 ,  2023-08-21 06:15:38.854732569 +0000 UTC m=+21.842143340 ,  56301183
2023-08-21 06:15:38.883813859 +0000 UTC m=+21.871224610 ,  2023-08-21 06:15:38.948055962 +0000 UTC m=+21.935466713 ,  64242023
2023-08-21 06:15:39.242747927 +0000 UTC m=+22.230158678 ,  2023-08-21 06:15:39.308420967 +0000 UTC m=+22.295831738 ,  65672889
2023-08-21 06:15:39.337575424 +0000 UTC m=+22.324986165 ,  2023-08-21 06:15:39.402184839 +0000 UTC m=+22.389595601 ,  64609185
2023-08-21 06:15:39.696805921 +0000 UTC m=+22.684216692 ,  2023-08-21 06:15:39.762384703 +0000 UTC m=+22.749795464 ,  65578642
2023-08-21 06:15:39.791724278 +0000 UTC m=+22.779135029 ,  2023-08-21 06:15:39.855521794 +0000 UTC m=+22.842932545 ,  63797446
2023-08-21 06:15:40.149564056 +0000 UTC m=+23.136974797 ,  2023-08-21 06:15:40.215652938 +0000 UTC m=+23.203063710 ,  66088772
2023-08-21 06:15:40.244919578 +0000 UTC m=+23.232330329 ,  2023-08-21 06:15:40.309525616 +0000 UTC m=+23.296936378 ,  64605918
2023-08-21 06:15:40.603878914 +0000 UTC m=+23.591289675 ,  2023-08-21 06:15:40.659955443 +0000 UTC m=+23.647366194 ,  56076449
2023-08-21 06:15:40.689121603 +0000 UTC m=+23.676532374 ,  2023-08-21 06:15:40.752478709 +0000 UTC m=+23.739889480 ,  63356966
2023-08-21 06:15:41.047234724 +0000 UTC m=+24.034645496 ,  2023-08-21 06:15:41.112849143 +0000 UTC m=+24.100259914 ,  65614278
2023-08-21 06:15:41.141996558 +0000 UTC m=+24.129407299 ,  2023-08-21 06:15:41.206650057 +0000 UTC m=+24.194060828 ,  64653388
2023-08-21 06:15:41.501777572 +0000 UTC m=+24.489188313 ,  2023-08-21 06:15:41.569060044 +0000 UTC m=+24.556470785 ,  67282121
2023-08-21 06:15:41.598651324 +0000 UTC m=+24.586062095 ,  2023-08-21 06:15:41.6592007 +0000 UTC m=+24.646611471 ,  60549236
2023-08-21 06:15:41.954334242 +0000 UTC m=+24.941745013 ,  2023-08-21 06:15:42.010942231 +0000 UTC m=+24.998352992 ,  56607818
2023-08-21 06:15:42.04008842 +0000 UTC m=+25.027499161 ,  2023-08-21 06:15:42.104612773 +0000 UTC m=+25.092023514 ,  64524293
2023-08-21 06:15:42.399324315 +0000 UTC m=+25.386735086 ,  2023-08-21 06:15:42.4650171 +0000 UTC m=+25.452427881 ,  65692615
2023-08-21 06:15:42.494191544 +0000 UTC m=+25.481602315 ,  2023-08-21 06:15:42.55776935 +0000 UTC m=+25.545180111 ,  63577686
2023-08-21 06:15:42.852784235 +0000 UTC m=+25.840194986 ,  2023-08-21 06:15:42.918343739 +0000 UTC m=+25.905754511 ,  65559374
2023-08-21 06:15:42.94752203 +0000 UTC m=+25.934932771 ,  2023-08-21 06:15:43.01241108 +0000 UTC m=+25.999821821 ,  64888989
2023-08-21 06:15:43.307315095 +0000 UTC m=+26.294725846 ,  2023-08-21 06:15:43.37178298 +0000 UTC m=+26.359193751 ,  64467765
2023-08-21 06:15:43.401086608 +0000 UTC m=+26.388497349 ,  2023-08-21 06:15:43.46589818 +0000 UTC m=+26.453308951 ,  64811442
2023-08-21 06:15:43.760500495 +0000 UTC m=+26.747911236 ,  2023-08-21 06:15:43.826002321 +0000 UTC m=+26.813413092 ,  65501716
2023-08-21 06:15:43.855139083 +0000 UTC m=+26.842549824 ,  2023-08-21 06:15:43.920177495 +0000 UTC m=+26.907588266 ,  65038312
2023-08-21 06:15:44.214611716 +0000 UTC m=+27.202022457 ,  2023-08-21 06:15:44.279747461 +0000 UTC m=+27.267158232 ,  65135635
2023-08-21 06:15:44.308911214 +0000 UTC m=+27.296321955 ,  2023-08-21 06:15:44.373410769 +0000 UTC m=+27.360821540 ,  64499455
2023-08-21 06:15:44.667980312 +0000 UTC m=+27.655391083 ,  2023-08-21 06:15:44.733590121 +0000 UTC m=+27.721000892 ,  65609669
2023-08-21 06:15:44.76276313 +0000 UTC m=+27.750173881 ,  2023-08-21 06:15:44.826450866 +0000 UTC m=+27.813861637 ,  63687606
2023-08-21 06:15:45.121427627 +0000 UTC m=+28.108838398 ,  2023-08-21 06:15:45.187179123 +0000 UTC m=+28.174589884 ,  65751356
2023-08-21 06:15:45.216370357 +0000 UTC m=+28.203781108 ,  2023-08-21 06:15:45.28059805 +0000 UTC m=+28.268008831 ,  64227563
2023-08-21 06:15:45.575742848 +0000 UTC m=+28.563153609 ,  2023-08-21 06:15:45.641155786 +0000 UTC m=+28.628566537 ,  65412848
2023-08-21 06:15:45.670284152 +0000 UTC m=+28.657694903 ,  2023-08-21 06:15:45.735264855 +0000 UTC m=+28.722675626 ,  64980582
2023-08-21 06:15:46.03012676 +0000 UTC m=+29.017537501 ,  2023-08-21 06:15:46.094643247 +0000 UTC m=+29.082054008 ,  64516366
2023-08-21 06:15:46.123721247 +0000 UTC m=+29.111131988 ,  2023-08-21 06:15:46.188270826 +0000 UTC m=+29.175681608 ,  64549449
2023-08-21 06:15:46.482972939 +0000 UTC m=+29.470383690 ,  2023-08-21 06:15:46.548478942 +0000 UTC m=+29.535889713 ,  65505872
2023-08-21 06:15:46.577581079 +0000 UTC m=+29.564991820 ,  2023-08-21 06:15:46.642360992 +0000 UTC m=+29.629771753 ,  64779803
2023-08-21 06:15:46.937294741 +0000 UTC m=+29.924705482 ,  2023-08-21 06:15:47.002903538 +0000 UTC m=+29.990314329 ,  65608667
2023-08-21 06:15:47.032170755 +0000 UTC m=+30.019581496 ,  2023-08-21 06:15:47.096780398 +0000 UTC m=+30.084191179 ,  64609523
2023-08-21 06:15:47.391243076 +0000 UTC m=+30.378653817 ,  2023-08-21 06:15:47.456704477 +0000 UTC m=+30.444115238 ,  65461271
2023-08-21 06:15:47.485932149 +0000 UTC m=+30.473342921 ,  2023-08-21 06:15:47.541332042 +0000 UTC m=+30.528742793 ,  55399802
2023-08-21 06:15:47.835814522 +0000 UTC m=+30.823225283 ,  2023-08-21 06:15:47.892308037 +0000 UTC m=+30.879718808 ,  56493365
2023-08-21 06:15:47.921311437 +0000 UTC m=+30.908722178 ,  2023-08-21 06:15:47.979666804 +0000 UTC m=+30.967077575 ,  58355247
2023-08-21 06:15:48.274148039 +0000 UTC m=+31.261558820 ,  2023-08-21 06:15:48.334967353 +0000 UTC m=+31.322378124 ,  60819153
